issue_id,date,participant_persona,package_version,os,python_version,case_id,engine,command,expected_result,actual_result,category,severity,reproducible,traceback_or_screenshot,proposed_fix,owner,status,linked_pr,verification_case,notes
T-1,2026-07-08,Team FlowState,2.2.0,Windows 11,3.11,I-405N/S,data contract,api.diagnose,per-lane capacities,"total-flow capacities ~lanes x off, silent",units,critical,yes,reviews/SIMULATED_COMPETITION_USERS_2026-07-08.md,unify per-lane contract + magnitude warning,dev,fixed,591fd39 (v2.3.0),pkg_smoke t_v4,schemas/guide/notebook contradiction
M-1,2026-07-08,Team GradientDescent,2.2.0,Windows 11,3.11,I-405N,QC,api.diagnose(kmh as mph),warning or error,silent garbage ranking (QC pass 0.079),units,critical,yes,reviews/SIMULATED_COMPETITION_USERS_2026-07-08.md,median>90 warning + speed_units param,dev,fixed,591fd39 (v2.3.0),units-guard regression test,
T-2/M-2,2026-07-08,both teams,2.2.0,Windows 11,3.11,I-405S,FD,api.diagnose,fd_summary populated,None; swallowed KeyError 'density_vpm',api-robustness,high,yes,same,auto-derive k=q/v; loud warnings,dev,fixed,591fd39 (v2.3.0),pkg_smoke t_v4,
M-3,2026-07-08,Team GradientDescent,2.2.0,Windows 11,3.11,I-405N,QVDF,api.diagnose,qvdf dict,KeyError on empty params frame,api-robustness,high,yes,same,empty frame keeps schema; n_fitted=0,dev,fixed,591fd39 (v2.3.0),3-day sample run,
M-4,2026-07-08,Team GradientDescent,2.2.0,Windows 11,3.11,I-405N,FD,run_fd,physics gate,capacity 14295 vphpl returned unflagged,physics-gate,high,yes,same,fd_summary fit_ok band + warning,dev,fixed,591fd39 (v2.3.0),pkg_smoke t_v4,
T-4/M-6,2026-07-08,both teams,2.2.0,Windows 11,3.11,v4 all,loader,(none existed),one-line load,35 lines of hand adapter each,missing-feature,high,yes,same,api.load_ieee_v4,dev,fixed,591fd39 (v2.3.0),notebook 05,
T-5,2026-07-08,Team FlowState,2.2.0,Windows 11,3.11,I-405S,docs,notebook 05 recipe,correct road_order,southbound milepost reversal; hardcoded lanes; .gz surprise,docs,medium,yes,same,chain ordering + data-derived lanes in loader; notes,dev,fixed,591fd39 (v2.3.0),notebook 05,chain lane tags themselves unreliable
M-5,2026-07-08,Team GradientDescent,2.2.0,Windows 11,3.11,I-405N,data contract,api.diagnose,one clear schema error,deep pandas KeyErrors,data-contract,medium,yes,same,upfront validator + soft defaults,dev,fixed,591fd39 (v2.3.0),validator test,
M-7,2026-07-08,Team GradientDescent,2.2.0,Windows 11,3.11,I-405N,data contract,api.diagnose(tz-aware),reject or convert,silently accepted; would shift periods 7-8h,data-contract,medium,yes,same,raise with conversion recipe,dev,fixed,591fd39 (v2.3.0),validator test,
M-8,2026-07-08,Team GradientDescent,2.2.0,Windows 11,3.11,I-405N,outputs,episodes frame,documented names + clock times,"bin indices, undocumented frame",docs,medium,yes,same,t*_time columns + schema table,dev,fixed,591fd39 (v2.3.0),PACKAGE_GUIDE,
T-6,2026-07-08,Team FlowState,2.2.0,Windows 11,3.11,I-5N,FD,api.fd_model_zoo,callable or documented,module with no-arg function,docs,medium,yes,same,api.fd_models() + case-insensitive lookup,dev,fixed,591fd39 (v2.3.0),pkg_smoke t_fd16,
T-7,2026-07-08,Team FlowState,2.2.0,Windows 11,3.11,toy,stage2,verify_installation,neutral message,scare-print 'fallback ... not found',ux,medium,yes,same,reworded,dev,fixed,591fd39 (v2.3.0),install smoke,
M-9,2026-07-08,Team GradientDescent,2.2.0,Windows 11,3.11,-,packaging,__version__,2.2.0,0.1.0,packaging,low,yes,same,single-source from metadata,dev,fixed,591fd39 (v2.3.0),import test,
T-9,2026-07-08,Team FlowState,2.2.0,Windows 11,3.11,I-5N,FD,fit on uncongested detector,identifiability flag,"confident extrapolated capacity (+21%, R2 0.994)",physics-gate,low,yes,same,fit_ok band; k-range derivation,dev,fixed,591fd39 (v2.3.0),pkg_smoke,
T-10,2026-07-08,both teams,2.2.0,Windows 11,3.11,-,console,any run,clean console,cp1252 mojibake,ux,low,yes,same,worst message fixed; logging sweep open,dev,partial,591fd39 (v2.3.0),-,open as SIM-P7
